Sample_ID;Temperature;pH;Salinity;Turbidity;Dissolved_Oxygen;Nitrate;Chlorophyll_a;nutrient_index;pH_deviation;Rainfall_last_7_days_mm;Distance_to_pollution_source_km;Water_depth_m;Current_velocity_m_s;Phosphate_concentration_mg_L;BOD_mg_L;Distance_to_coast_km;Seagrass_or_algae_cover;is_safe
WQ00000;15.86;8.34;30.91;29.96;4.5;11.73;70.1;822.273;1.34;44.945;18.995;146.54;0.961;0.153;8.549;74.181;Medium;0
WQ00001;26.13;8.01;39.32;41.14;12.9;1.3;19.64;25.532;1.01;114.086;16.979;38.533;0.694;0.0519;5.198;88.122;High;1
WQ00002;26.7;6.51;36.79;24.72;12.94;0.52;10;5.2;0.49;;9.22;70.635;1.447;0.0675;2.357;46.372;Low;1
WQ00003;21.27;8.7;35.21;30.38;4.7;12.78;75.55;965.529;1.7;71.839;30.56;133.33;0.336;0.0944;7.498;28.989;Medium;0
WQ00004;19.37;8.65;30.69;10.06;13.8;3.13;24.02;75.1826;1.65;18.722;24.093;97.454;0.886;0.1058;4.477;31.953;Medium;1
WQ00005;19.87;7.72;32.64;49.29;6.78;9.66;38.67;373.5522;0.72;18.719;43.352;148.237;1.053;0.1249;6.149;69.725;Low;1
WQ00006;30;7.33;32.65;48.34;1.83;17.58;88.49;1555.6542;0.33;6.97;2.089;192.319;1.24;0.1315;1.519;56.799;Medium;0
WQ00007;21.13;8.53;38.69;37.66;14.56;1.4;13.82;19.348;1.53;103.941;32.371;25.076;0.616;0.2306;6.5;48.701;Medium;1
WQ00008;26.62;8.39;35.32;33.05;6.38;7.85;33.18;260.463;1.39;72.134;38.266;142.494;1.034;0.2572;4.049;20.357;Low;1
WQ00009;18.28;7.53;31.95;19.55;0.96;20.74;96.65;2004.521;0.53;84.969;38.095;47.608;0.462;0.1579;3.675;87.558;Low;0
WQ00010;11.35;7;38.93;6.53;9.74;3.19;28.12;89.7028;0;2.47;44.361;84.066;0.659;0.4541;9.809;78.124;Medium;1
WQ00011;;7.88;30.83;0.77;12.66;3.15;23.03;72.5445;0.88;116.389;36.587;;1.344;0.2788;4.608;14.15;Medium;1
WQ00012;23.98;8.46;32.24;25.64;13.1;2.31;17.72;40.9332;1.46;99.893;46.427;;1.425;0.3948;6.941;36.802;Medium;1
WQ00013;17.86;8.36;30.71;4.94;7.77;9.82;49.21;483.2422;1.36;25.481;16.967;65.316;1.081;0.4625;6.463;54.259;Low;0
WQ00014;27.05;8.55;32.52;28.8;1.33;23.73;100;2373;1.55;21.819;25.409;69.713;0.568;0.0858;1.491;45.488;Medium;0
WQ00015;23.71;7.55;36.97;39.13;3.96;17.44;67.52;1177.5488;0.55;22.009;1.197;180.118;1.232;0.2168;7.605;39.84;Low;0
WQ00016;2.294337875;7.74;37.24;40.29;4.15;16.25;58.41;949.1625;0.74;36.509;0.844;148.879;0.049;0.2194;3.57;71.911;Medium;0
WQ00017;21.79;7.29;31.68;2.14;0.72;20.16;93.78;1890.6048;0.29;62.971;12.386;194.492;0.163;0.1805;8.09;5.545;High;0
